Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes,like_groups
0.731,0.675,5.0,-5.134,0.0434,0.00473,0.0,0.141,0.298,124.939,139461.0,1072165.0,14.0
0.628,0.744,7.0,-4.718,0.0379,0.0257,0.0,0.313,0.277,119.921,169397.0,1198821.0,14.0
0.601,0.92,5.0,-4.802,0.0505,0.000735,0.0,0.0998,0.537,88.014,170134.0,294321.0,10.0
0.653,0.718,3.0,-5.232,0.213,0.00413,0.0,0.0537,0.216,82.034,202805.0,1923118.0,16.0
0.654,0.875,1.0,-4.845,0.0744,0.000417,0.0086,0.194,0.522,99.975,171621.0,854345.0,13.0
0.533,0.858,2.0,-4.212,0.0766,0.00021,0.0,0.148,0.506,160.057,205159.0,1278216.0,15.0
0.697,0.691,2.0,-4.757,0.146,0.214,0.0,0.185,0.305,137.853,239293.0,3621125.0,18.0
0.665,0.678,5.0,-4.122,0.0315,0.00156,0.0,0.474,0.682,131.986,122570.0,182210.0,9.0
0.721,0.632,5.0,-6.695,0.0358,0.0693,0.0,0.291,0.296,92.057,144860.0,335937.0,11.0
0.742,0.617,2.0,-6.689,0.0345,0.05,5.92e-05,0.0711,0.491,147.002,124188.0,273280.0,10.0
0.594,0.749,9.0,-5.298,0.056,0.0338,0.00106,0.3,0.694,179.968,172854.0,9883068.0,20.0
0.628,0.69,8.0,-5.83,0.0511,0.443,0.0,0.113,0.66,179.908,205907.0,4089045.0,18.0
0.635,0.713,11.0,-6.909,0.0937,0.228,0.0,0.0506,0.749,179.864,204701.0,2634233.0,17.0
0.681,0.648,1.0,-5.021,0.38,0.523,0.0,0.104,0.688,172.02,286507.0,1811446.0,16.0
0.855,0.912,10.0,-4.832,0.145,0.183,0.0,0.122,0.885,104.072,157023.0,748538.0,13.0
0.76,0.803,8.0,-2.867,0.0306,0.531,0.0,0.0555,0.922,136.945,223074.0,435031.0,11.0
0.832,0.608,6.0,-6.042,0.0385,0.282,0.0,0.0761,0.589,94.013,198707.0,4733493.0,18.0
0.591,0.785,9.0,-7.768,0.161,0.161,0.0,0.126,0.785,106.002,217547.0,557112.0,12.0
0.557,0.54,9.0,-10.484,0.0347,0.0339,0.00248,0.179,0.394,129.171,185733.0,1126554.0,14.0
0.443,0.403,0.0,-8.339,0.0322,0.631,0.0,0.111,0.41,143.462,243027.0,1075941.0,14.0
0.533,0.376,9.0,-11.913,0.0393,0.0302,0.248,0.0926,0.187,165.007,259947.0,383619.0,11.0
0.332,0.179,5.0,-11.83,0.0326,0.879,0.0,0.0886,0.315,96.529,125667.0,475089.0,12.0
0.482,0.849,2.0,-9.198,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,155227.0,490790.0,12.0
0.686,0.127,7.0,-14.361,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,138387.0,365297.0,11.0
0.688,0.435,9.0,-11.359,0.0323,0.449,0.0,0.113,0.435,103.239,146333.0,463315.0,12.0
0.386,0.607,10.0,-7.7,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,425653.0,460662.0,12.0
0.49,0.715,7.0,-5.549,0.0476,0.386,0.0,0.311,0.866,130.726,145747.0,275921.0,10.0
0.396,0.338,0.0,-10.872,0.0304,0.198,2.62e-06,0.138,0.377,133.522,182293.0,675186.0,13.0
0.671,0.939,8.0,-3.206,0.161,0.191,0.0,0.298,0.53,129.024,252307.0,4265538.0,18.0
0.581,0.963,11.0,-4.087,0.0981,0.0295,0.0,0.139,0.788,129.992,204160.0,5671596.0,19.0
0.721,0.802,1.0,-5.797,0.0583,0.0921,0.0,0.694,0.724,124.022,229360.0,1423079.0,15.0
0.673,0.758,7.0,-3.632,0.158,0.039,0.0,0.341,0.542,135.956,229507.0,2999847.0,17.0
