Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes
0.763,0.85,7,-3.052,0.0417,0.0304,1.21E-06,0.371,0.761,91.519,284907,484619
0.872,0.723,1,-5.968,0.247,0.0293,0,0.327,0.843,93.279,307773,64269
0.874,0.63,1,-3.585,0.298,0.0578,0.00479,0.0582,0.717,95,281600,24831
0.865,0.665,7,-6.289,0.073,0.0453,0,0.224,0.331,111.113,268827,4350
0.773,0.54,6,-7.123,0.103,0.371,0,0.131,0.322,84.115,280000,3225481
0.598,0.732,4,-7.013,0.425,0.144,0,0.508,0.595,172.329,262507,58781
0.849,0.904,8,-4.78,0.138,0.0248,5.11E-05,0.0545,0.854,99.258,246533,251281
0.795,0.852,0,-2.238,0.178,0.0442,3.47E-06,0.39,0.673,95.44,330760,13416
0.762,0.861,0,-3.296,0.0955,0.0185,0,0.264,0.955,120.048,172714,2843117
0.553,0.652,0,-6.685,0.206,0.0897,0,0.111,0.551,94.505,207347,5635352
0.888,0.632,1,-3.872,0.219,0.19,0,0.101,0.662,91.979,266067,1854617
0.723,0.732,11,-5.514,0.0864,0.11,0,0.484,0.503,104.991,199747,175218
0.718,0.768,7,-7.87,0.25,0.0988,0,0.0957,0.591,164.038,213745,2308329
0.813,0.732,7,-5.636,0.03,0.0597,0.00137,0.0826,0.731,130.02,195987,1010443
0.907,0.695,11,-6.268,0.135,0.246,0,0.0808,0.961,101.007,298307,1231331
0.861,0.48,7,-8.433,0.0512,0.0459,0,0.351,0.278,99.972,178840,373
0.755,0.531,9,-8.051,0.196,0.213,0,0.13,0.683,177.951,203360,1245805
0.878,0.786,11,-5.273,0.152,0.416,3.10E-05,0.122,0.831,101.984,382240,369883
0.669,0.634,11,-6.476,0.0327,0.0125,0,0.0946,0.496,124.906,255053,2941752
0.502,0.786,9,-4.378,0.317,0.255,0,0.65,0.739,169.021,243491,6142541
0.328,0.622,5,-7.291,0.0866,0.858,0,0.104,0.401,74.267,228093,4833883
0.457,0.906,5,-2.278,0.342,0.249,0,0.182,0.54,104.02,357707,2019702
0.364,0.752,2,-5.429,0.304,0.0007,0,0.318,0.606,79.119,248587,1119672
0.832,0.43,0,-9.39,0.0826,0.0606,0.00323,0.124,0.462,148.074,299333,2641825
0.663,0.688,6,-8.659,0.283,0.0391,0.00224,0.223,0.731,151.589,221813,192622
0.443,0.623,0,-6.717,0.0718,0.0468,0,0.247,0.156,79.365,233000,256
0.742,0.617,2,-6.689,0.0345,0.05,5.92E-05,0.0711,0.491,147.002,124188,273280
0.376,0.841,3,-4.348,0.356,0.0435,0,0.578,0.463,76.052,271947,370102
0.716,0.512,1,-6.257,0.0331,0.483,0,0.0928,0.326,104.957,165907,4266217
0.468,0.779,9,-4.839,0.0779,0.112,0.000373,0.101,0.26,173.799,217747,1964768
0.399,0.787,1,-2.88,0.0499,0.0197,6.07E-05,0.0685,0.572,117.089,216120,12476394
0.259,0.437,11,-6.589,0.0386,0.102,1.32E-06,0.106,0.0951,180.042,239000,14149628
0.628,0.698,6,-5.608,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667,8821956
0.603,0.615,11,-4.931,0.165,0.0799,6.72E-05,0.117,0.561,158.657,213707,3990442
0.421,0.791,9,-4.998,0.0496,0.0117,1.48E-05,0.146,0.499,130.075,257200,5191365
0.678,0.744,6,-4.058,0.234,0.495,2.35E-05,0.0631,0.433,101.987,162353,32710
0.759,0.636,6,-5.585,0.0369,0.0224,0.000143,0.166,0.536,109.976,214507,988318
0.547,0.814,1,-6.191,0.12,0.0215,0,0.0475,0.724,92.986,205267,494298
0.828,0.492,0,-9.744,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,476988
0.545,0.67,9,-8.81,0.0496,0.009,0.000822,0.0451,0.481,151.553,270213,618971
0.73,0.487,4,-10.991,0.0303,0.258,0.01,0.0852,0.731,114.965,226653,342799
0.583,0.947,5,-5.12,0.0378,0.0185,0.00109,0.0679,0.803,135.448,223613,44832
0.414,0.161,7,-22.32,0.0318,0.883,0.000223,0.117,0.423,159.375,199493,451100
0.671,0.71,9,-7.724,0.0356,0.0393,1.12E-05,0.0387,0.834,118.745,193347,42737
0.64,0.649,2,-10.345,0.0264,0.216,8.30E-05,0.0551,0.865,124.825,221053,385402
0.723,0.49,9,-14.745,0.0296,0.111,0.0946,0.0923,0.795,129.012,252773,61004
0.622,0.54,5,-13.99,0.0261,0.017,0.00771,0.265,0.847,130.879,264907,436530
0.654,0.336,6,-12.825,0.0379,0.858,0.385,0.0786,0.947,176.083,134400,23628
0.543,0.87,9,-6.514,0.0428,0.358,0.000939,0.792,0.754,100.804,230400,3253260
0.749,0.491,10,-9.655,0.0403,0.02,0.00899,0.159,0.536,119.528,292613,3156029
0.749,0.748,2,-7.011,0.0323,0.295,0.000443,0.469,0.827,137.547,213267,1324658
0.719,0.922,11,-6.091,0.0338,0.523,0.000163,0.0867,0.964,133.113,260893,51162
0.454,0.788,6,-6.748,0.0371,0.574,0.000766,0.0859,0.52,126.15,294720,512491
0.684,0.675,11,-8.123,0.0257,0.163,0,0.242,0.924,107.064,243933,512716
0.678,0.727,2,-7.844,0.0258,0.117,0.00396,0.354,0.71,133.481,274467,39389
0.445,0.949,2,-4.682,0.0471,0.395,8.18E-06,0.0902,0.653,147.604,168960,368779
0.5,0.554,9,-8.108,0.0354,0.734,3.72E-06,0.312,0.372,84.229,326320,1203620
0.764,0.626,0,-8.274,0.0288,0.457,6.35E-06,0.201,0.961,118.34,252853,375323
0.652,0.259,2,-13.336,0.0595,0.903,0,0.362,0.836,142.169,155453,144902
0.262,0.137,8,-15.235,0.0344,0.913,6.74E-06,0.267,0.288,92.183,206600,94812
0.512,0.339,8,-13.119,0.0498,0.727,0,0.0977,0.951,174.609,120693,286935
0.401,0.381,2,-7.458,0.0274,0.7,0,0.122,0.229,75.454,276800,323576
0.257,0.338,4,-12.902,0.0357,0.736,0,0.252,0.544,207.356,162493,5476
0.646,0.204,10,-11.957,0.0565,0.826,0,0.312,0.688,140.281,154640,23726
0.668,0.26,7,-14.256,0.0523,0.453,0,0.0621,0.368,119.416,147000,1746670
0.259,0.473,5,-8.275,0.0295,0.592,0,0.201,0.539,90.348,157867,131664
0.56,0.434,4,-14.151,0.0729,0.55,0,0.346,0.664,112.803,187040,271523
